Incident_ID,Date,Location,Trigger_Type,Spill_Volume_Barrels,Detected_By,Response_Time_Hours,Environmental_Impact_Score,Cleanup_Method,Financial_Loss_USD_M
INC1248,2023-09-06,Bay of Bengal,Human Error,25.0,Coast Guard,4.0,4.5,Dispersants,2.25
INC1249,2023-09-07,North Sea,Human Error,153.29,Satellite,1.1,6.3,Dispersants,2.85
INC1250,2023-09-08,Gulf of Mexico,Mechanical Failure,132.74,Coast Guard,6.5,6.9,Vacuum Trucks,3.05
INC1251,2023-09-09,Bay of Bengal,Mechanical Failure,77.09,Crew,6.7,1.7,Vacuum Trucks,2.95
INC1252,2023-09-10,Bay of Bengal,Infrastructure,46.17,Automated Sensor,7.6,5.9,Bioremediation,0.32
INC1253,2023-09-11,North Sea,Human Error,68.71,Coast Guard,5.9,7.4,Bioremediation,0.0
INC1254,2023-09-12,Gulf of Mexico,Natural Event,108.19,Coast Guard,6.7,2.5,Dispersants,0.0
INC1255,2023-09-13,North Sea,Infrastructure,25.84,Coast Guard,8.7,8.0,Vacuum Trucks,1.59
INC1256,2023-09-14,Gulf of Mexico,Mechanical Failure,215.59,Crew,3.5,6.3,Bioremediation,2.89
INC1257,2023-09-15,South China Sea,Mechanical Failure,107.47,Coast Guard,3.1,9.6,Vacuum Trucks,0.34
INC1258,2023-09-16,Arabian Sea,Human Error,116.43,Crew,2.8,1.4,Vacuum Trucks,3.39
INC1259,2023-09-17,Arabian Sea,Mechanical Failure,132.09,Crew,4.5,3.4,Bioremediation,1.25
INC1260,2023-09-18,Arabian Sea,Natural Event,201.94,Crew,7.9,6.4,Dispersants,1.26
INC1261,2023-09-19,North Sea,Human Error,96.67,Automated Sensor,6.1,3.7,Bioremediation,0.75
INC1262,2023-09-20,South China Sea,Mechanical Failure,137.99,Automated Sensor,6.0,7.4,Bioremediation,0.0
INC1263,2023-09-21,Gulf of Mexico,Human Error,46.85,Coast Guard,1.4,7.8,Vacuum Trucks,2.34
INC1264,2023-09-22,Bay of Bengal,Mechanical Failure,262.02,Coast Guard,3.6,1.9,Bioremediation,4.57
INC1265,2023-09-23,Gulf of Mexico,Mechanical Failure,91.88,Automated Sensor,1.3,5.6,Dispersants,1.91
INC1266,2023-09-24,Bay of Bengal,Mechanical Failure,46.65,Satellite,7.3,5.6,Bioremediation,0.0
INC1267,2023-09-25,Gulf of Mexico,Natural Event,57.72,Automated Sensor,8.2,4.3,Dispersants,3.17
INC1268,2023-09-26,South China Sea,Natural Event,11.19,Crew,6.6,9.4,Dispersants,0.0
INC1269,2023-09-27,Bay of Bengal,Human Error,57.41,Automated Sensor,3.0,8.4,Vacuum Trucks,0.19
INC1270,2023-09-28,North Sea,Mechanical Failure,4.36,Crew,8.0,7.3,Skimmers,1.64
INC1271,2023-09-29,Gulf of Mexico,Mechanical Failure,145.04,Coast Guard,4.5,7.4,Skimmers,2.18
INC1272,2023-09-30,Gulf of Mexico,Natural Event,113.92,Satellite,2.6,5.2,Vacuum Trucks,0.49
INC1273,2023-10-01,Bay of Bengal,Mechanical Failure,35.2,Coast Guard,3.1,9.3,Bioremediation,1.58
INC1274,2023-10-02,North Sea,Natural Event,80.29,Crew,4.1,7.3,Vacuum Trucks,3.07
INC1275,2023-10-03,North Sea,Mechanical Failure,83.1,Crew,5.1,7.6,Dispersants,3.28
INC1276,2023-10-04,South China Sea,Human Error,28.7,Crew,4.7,8.8,Skimmers,3.88
INC1277,2023-10-05,North Sea,Mechanical Failure,69.87,Satellite,2.2,3.5,Vacuum Trucks,4.86
INC1278,2023-10-06,North Sea,Mechanical Failure,85.08,Automated Sensor,7.4,8.3,Bioremediation,3.21
INC1279,2023-10-07,North Sea,Infrastructure,68.37,Coast Guard,4.7,2.8,Vacuum Trucks,1.67
INC1280,2023-10-08,Arabian Sea,Natural Event,46.61,Coast Guard,3.6,4.1,Skimmers,3.29
INC1281,2023-10-09,South China Sea,Mechanical Failure,33.96,Automated Sensor,7.2,4.0,Vacuum Trucks,2.7
INC1282,2023-10-10,Gulf of Mexico,Mechanical Failure,66.47,Coast Guard,2.6,9.8,Vacuum Trucks,2.76
INC1283,2023-10-11,Bay of Bengal,Infrastructure,51.63,Satellite,1.7,8.7,Skimmers,2.27
INC1284,2023-10-12,Gulf of Mexico,Infrastructure,126.03,Coast Guard,7.5,7.3,Dispersants,0.63
INC1285,2023-10-13,South China Sea,Natural Event,210.23,Crew,8.8,7.5,Dispersants,0.46
INC1286,2023-10-14,Bay of Bengal,Infrastructure,158.4,Automated Sensor,4.1,6.1,Skimmers,1.85
INC1287,2023-10-15,South China Sea,Human Error,87.24,Satellite,4.9,9.5,Vacuum Trucks,2.22
INC1288,2023-10-16,North Sea,Infrastructure,48.16,Automated Sensor,2.7,5.5,Skimmers,0.98
INC1289,2023-10-17,Bay of Bengal,Human Error,155.5,Satellite,5.0,4.4,Dispersants,2.64
INC1290,2023-10-18,North Sea,Natural Event,131.43,Crew,4.0,2.5,Bioremediation,5.12
INC1291,2023-10-19,Gulf of Mexico,Natural Event,200.58,Automated Sensor,4.8,8.1,Vacuum Trucks,0.0
INC1292,2023-10-20,Gulf of Mexico,Natural Event,96.75,Coast Guard,5.8,7.6,Dispersants,2.87
INC1293,2023-10-21,Bay of Bengal,Natural Event,253.12,Satellite,2.8,4.5,Vacuum Trucks,1.9
INC1294,2023-10-22,Bay of Bengal,Natural Event,96.77,Automated Sensor,4.3,1.2,Skimmers,2.68
INC1295,2023-10-23,South China Sea,Human Error,47.96,Coast Guard,1.4,8.6,Bioremediation,1.35
INC1296,2023-10-24,South China Sea,Human Error,55.84,Automated Sensor,4.3,1.1,Skimmers,1.78
INC1297,2023-10-25,North Sea,Natural Event,121.84,Automated Sensor,4.8,7.3,Bioremediation,2.19
INC1298,2023-10-26,Bay of Bengal,Infrastructure,51.52,Automated Sensor,5.5,9.7,Vacuum Trucks,1.55
INC1299,2023-10-27,Gulf of Mexico,Mechanical Failure,251.98,Satellite,5.5,4.9,Vacuum Trucks,0.0
INC1300,2023-10-28,South China Sea,Natural Event,114.79,Coast Guard,6.8,3.1,Skimmers,1.65
INC1301,2023-10-29,South China Sea,Infrastructure,85.81,Crew,1.9,7.3,Bioremediation,0.0
INC1302,2023-10-30,Gulf of Mexico,Mechanical Failure,91.32,Satellite,2.0,8.4,Bioremediation,2.98
INC1303,2023-10-31,South China Sea,Natural Event,67.8,Satellite,6.1,5.9,Vacuum Trucks,0.0
INC1304,2023-11-01,North Sea,Natural Event,15.37,Satellite,0.9,9.7,Skimmers,3.54
INC1305,2023-11-02,Bay of Bengal,Human Error,55.87,Crew,5.4,1.5,Bioremediation,2.64
INC1306,2023-11-03,Gulf of Mexico,Mechanical Failure,231.82,Coast Guard,2.6,5.5,Vacuum Trucks,2.65
INC1307,2023-11-04,Bay of Bengal,Mechanical Failure,98.68,Coast Guard,8.1,7.5,Dispersants,0.0
INC1308,2023-11-05,South China Sea,Infrastructure,170.84,Coast Guard,5.5,8.8,Skimmers,1.51
INC1309,2023-11-06,South China Sea,Human Error,174.15,Automated Sensor,4.6,2.6,Dispersants,3.73
INC1310,2023-11-07,Gulf of Mexico,Human Error,80.87,Automated Sensor,7.5,8.2,Skimmers,1.22
INC1311,2023-11-08,North Sea,Human Error,132.93,Automated Sensor,2.9,6.0,Vacuum Trucks,0.38
INC1312,2023-11-09,Arabian Sea,Human Error,17.38,Crew,3.3,4.6,Bioremediation,1.04
INC1313,2023-11-10,Gulf of Mexico,Mechanical Failure,219.6,Automated Sensor,2.5,2.2,Bioremediation,1.9
INC1314,2023-11-11,Arabian Sea,Mechanical Failure,207.93,Crew,3.3,8.8,Bioremediation,0.72
INC1315,2023-11-12,Arabian Sea,Natural Event,119.46,Coast Guard,5.1,2.4,Skimmers,3.85
INC1316,2023-11-13,North Sea,Natural Event,101.32,Automated Sensor,6.0,3.8,Vacuum Trucks,1.9
INC1317,2023-11-14,Arabian Sea,Human Error,81.69,Automated Sensor,6.9,3.6,Dispersants,1.17
INC1318,2023-11-15,Arabian Sea,Human Error,184.27,Satellite,1.4,8.8,Vacuum Trucks,0.05
INC1319,2023-11-16,North Sea,Human Error,143.73,Crew,4.7,7.1,Dispersants,2.73
INC1320,2023-11-17,Arabian Sea,Natural Event,62.06,Coast Guard,2.8,8.2,Skimmers,2.69
INC1321,2023-11-18,Arabian Sea,Infrastructure,29.94,Satellite,4.6,3.3,Skimmers,0.81
INC1322,2023-11-19,Arabian Sea,Infrastructure,24.59,Satellite,9.7,6.6,Dispersants,0.0
INC1323,2023-11-20,Gulf of Mexico,Natural Event,182.97,Coast Guard,5.6,6.1,Dispersants,2.62
INC1324,2023-11-21,Gulf of Mexico,Natural Event,80.34,Satellite,6.8,8.5,Dispersants,1.72
INC1325,2023-11-22,Gulf of Mexico,Natural Event,118.07,Crew,8.9,9.2,Vacuum Trucks,2.5
INC1326,2023-11-23,North Sea,Natural Event,88.39,Crew,7.3,1.1,Dispersants,4.94
INC1327,2023-11-24,South China Sea,Natural Event,24.92,Automated Sensor,4.1,7.1,Skimmers,1.96
INC1328,2023-11-25,Arabian Sea,Natural Event,17.83,Satellite,2.4,1.5,Skimmers,1.23
INC1329,2023-11-26,Arabian Sea,Human Error,58.64,Automated Sensor,4.9,5.9,Bioremediation,0.28
INC1330,2023-11-27,North Sea,Human Error,62.79,Satellite,3.9,3.6,Dispersants,1.53
INC1331,2023-11-28,Arabian Sea,Human Error,62.76,Crew,2.0,3.8,Vacuum Trucks,2.24
INC1332,2023-11-29,Gulf of Mexico,Human Error,64.25,Crew,5.5,4.2,Vacuum Trucks,2.08
INC1333,2023-11-30,South China Sea,Natural Event,302.12,Crew,5.5,6.6,Vacuum Trucks,4.59
INC1334,2023-12-01,Bay of Bengal,Infrastructure,169.1,Satellite,8.5,4.0,Bioremediation,2.75
INC1335,2023-12-02,Arabian Sea,Mechanical Failure,99.72,Crew,4.3,7.6,Skimmers,1.8
INC1336,2023-12-03,Gulf of Mexico,Natural Event,78.8,Satellite,5.6,4.6,Vacuum Trucks,0.94
INC1337,2023-12-04,Bay of Bengal,Mechanical Failure,80.95,Automated Sensor,3.7,1.6,Skimmers,2.4
INC1338,2023-12-05,South China Sea,Infrastructure,140.14,Satellite,6.7,8.1,Bioremediation,0.64
INC1339,2023-12-06,Bay of Bengal,Human Error,78.23,Automated Sensor,4.8,3.6,Dispersants,2.27
INC1340,2023-12-07,Gulf of Mexico,Infrastructure,157.58,Satellite,2.7,4.9,Dispersants,2.73
INC1341,2023-12-08,Bay of Bengal,Natural Event,107.76,Automated Sensor,5.0,7.2,Dispersants,1.68
INC1342,2023-12-09,North Sea,Human Error,303.89,Crew,5.8,4.0,Vacuum Trucks,1.05
INC1343,2023-12-10,Bay of Bengal,Natural Event,74.64,Automated Sensor,5.5,1.5,Dispersants,0.0
INC1344,2023-12-11,Arabian Sea,Human Error,177.29,Crew,7.1,4.4,Vacuum Trucks,3.72
INC1345,2023-12-12,Arabian Sea,Mechanical Failure,32.62,Crew,2.1,9.5,Bioremediation,2.6
INC1346,2023-12-13,North Sea,Mechanical Failure,49.21,Automated Sensor,3.3,6.8,Bioremediation,2.64
INC1347,2023-12-14,Gulf of Mexico,Mechanical Failure,278.0,Satellite,6.3,7.0,Vacuum Trucks,0.0
INC1348,2023-12-15,Arabian Sea,Infrastructure,153.06,Satellite,3.5,6.7,Skimmers,4.07
INC1349,2023-12-16,South China Sea,Natural Event,119.6,Coast Guard,5.5,2.8,Dispersants,1.3
INC1350,2023-12-17,Arabian Sea,Infrastructure,354.66,Satellite,0.5,4.8,Dispersants,1.57
INC1351,2023-12-18,Arabian Sea,Mechanical Failure,79.67,Coast Guard,10.4,7.8,Dispersants,0.4
INC1352,2023-12-19,Gulf of Mexico,Natural Event,177.0,Satellite,4.5,1.9,Vacuum Trucks,0.0
INC1353,2023-12-20,Bay of Bengal,Mechanical Failure,185.84,Satellite,7.4,3.5,Bioremediation,3.74
INC1354,2023-12-21,Arabian Sea,Infrastructure,239.49,Crew,4.3,3.5,Dispersants,3.93
INC1355,2023-12-22,North Sea,Infrastructure,29.08,Coast Guard,5.8,4.9,Bioremediation,1.75
INC1356,2023-12-23,Bay of Bengal,Infrastructure,79.26,Satellite,8.0,9.8,Dispersants,0.98
INC1357,2023-12-24,South China Sea,Mechanical Failure,106.41,Coast Guard,7.3,1.6,Dispersants,1.43
INC1358,2023-12-25,Gulf of Mexico,Natural Event,236.93,Crew,4.6,5.7,Vacuum Trucks,1.48
INC1359,2023-12-26,South China Sea,Natural Event,116.17,Crew,4.7,2.6,Skimmers,0.2
INC1360,2023-12-27,Bay of Bengal,Mechanical Failure,186.11,Coast Guard,7.0,9.7,Vacuum Trucks,1.56
INC1361,2023-12-28,Bay of Bengal,Natural Event,26.55,Crew,9.7,2.0,Dispersants,2.23
INC1362,2023-12-29,Bay of Bengal,Mechanical Failure,65.56,Automated Sensor,5.4,4.6,Dispersants,3.53
INC1363,2023-12-30,South China Sea,Natural Event,207.41,Automated Sensor,8.9,7.6,Skimmers,2.02
INC1364,2023-12-31,Bay of Bengal,Human Error,72.65,Crew,4.5,7.3,Bioremediation,0.0
INC1365,2024-01-01,South China Sea,Human Error,84.34,Automated Sensor,6.9,4.8,Bioremediation,2.53
INC1366,2024-01-02,Bay of Bengal,Infrastructure,234.45,Satellite,7.2,4.1,Dispersants,1.62
INC1367,2024-01-03,North Sea,Human Error,39.75,Coast Guard,4.2,4.6,Bioremediation,4.06
INC1368,2024-01-04,Bay of Bengal,Human Error,48.52,Satellite,3.5,3.4,Dispersants,4.14
INC1369,2024-01-05,South China Sea,Human Error,23.78,Coast Guard,7.3,2.8,Skimmers,4.2
INC1370,2024-01-06,Arabian Sea,Mechanical Failure,240.61,Crew,3.9,5.3,Skimmers,1.16
INC1371,2024-01-07,Bay of Bengal,Human Error,166.99,Satellite,3.2,3.4,Dispersants,4.98
INC1372,2024-01-08,Arabian Sea,Human Error,164.13,Crew,3.6,3.6,Skimmers,2.53
INC1373,2024-01-09,North Sea,Infrastructure,64.07,Crew,3.9,6.9,Vacuum Trucks,4.44
INC1374,2024-01-10,Gulf of Mexico,Human Error,21.97,Coast Guard,6.7,9.7,Vacuum Trucks,1.25
INC1375,2024-01-11,North Sea,Human Error,15.86,Coast Guard,6.0,6.4,Skimmers,1.55
INC1376,2024-01-12,Bay of Bengal,Natural Event,208.43,Coast Guard,6.4,1.7,Dispersants,2.41
INC1377,2024-01-13,Arabian Sea,Infrastructure,125.29,Satellite,5.8,1.7,Dispersants,2.23
INC1378,2024-01-14,Arabian Sea,Infrastructure,142.55,Automated Sensor,3.8,9.6,Skimmers,3.88
INC1379,2024-01-15,South China Sea,Infrastructure,102.83,Coast Guard,6.4,3.7,Bioremediation,1.65
INC1380,2024-01-16,Arabian Sea,Infrastructure,43.52,Coast Guard,7.4,1.8,Vacuum Trucks,3.75
INC1381,2024-01-17,South China Sea,Infrastructure,66.5,Satellite,6.2,6.4,Bioremediation,3.1
INC1382,2024-01-18,Gulf of Mexico,Infrastructure,34.42,Coast Guard,5.9,6.6,Dispersants,1.68
INC1383,2024-01-19,Bay of Bengal,Mechanical Failure,30.47,Satellite,3.5,6.8,Dispersants,2.98
INC1384,2024-01-20,South China Sea,Human Error,157.78,Crew,5.4,3.4,Bioremediation,1.29
INC1385,2024-01-21,Gulf of Mexico,Infrastructure,17.51,Coast Guard,3.4,1.1,Skimmers,5.53
INC1386,2024-01-22,Arabian Sea,Human Error,34.64,Coast Guard,5.0,9.7,Bioremediation,0.0
INC1387,2024-01-23,Arabian Sea,Human Error,69.66,Crew,1.7,3.3,Bioremediation,3.01
INC1388,2024-01-24,Gulf of Mexico,Mechanical Failure,90.32,Crew,1.7,7.1,Vacuum Trucks,0.0
INC1389,2024-01-25,Arabian Sea,Infrastructure,23.48,Crew,4.6,7.4,Vacuum Trucks,1.66
INC1390,2024-01-26,Gulf of Mexico,Natural Event,115.12,Coast Guard,3.9,6.5,Bioremediation,1.87
INC1391,2024-01-27,South China Sea,Mechanical Failure,98.64,Automated Sensor,5.2,3.8,Bioremediation,4.26
INC1392,2024-01-28,South China Sea,Natural Event,206.04,Automated Sensor,4.7,3.4,Dispersants,0.96
INC1393,2024-01-29,Gulf of Mexico,Human Error,91.48,Automated Sensor,5.1,6.4,Vacuum Trucks,3.96
INC1394,2024-01-30,South China Sea,Human Error,123.55,Coast Guard,6.2,8.8,Vacuum Trucks,0.23
INC1395,2024-01-31,South China Sea,Mechanical Failure,45.74,Crew,4.1,9.5,Dispersants,4.02
INC1396,2024-02-01,South China Sea,Mechanical Failure,47.45,Coast Guard,4.6,2.0,Skimmers,1.29
INC1397,2024-02-02,North Sea,Natural Event,26.07,Crew,7.9,2.4,Vacuum Trucks,2.11
INC1398,2024-02-03,Bay of Bengal,Infrastructure,46.13,Coast Guard,5.0,9.5,Vacuum Trucks,1.5
INC1399,2024-02-04,Arabian Sea,Natural Event,65.71,Coast Guard,4.6,7.6,Skimmers,3.92
INC1400,2024-02-05,North Sea,Mechanical Failure,192.61,Crew,5.2,8.9,Vacuum Trucks,3.63
INC1401,2024-02-06,South China Sea,Natural Event,40.21,Automated Sensor,4.7,2.8,Vacuum Trucks,2.67
INC1402,2024-02-07,Gulf of Mexico,Mechanical Failure,312.66,Crew,3.6,6.3,Skimmers,0.27
INC1403,2024-02-08,South China Sea,Natural Event,131.3,Satellite,3.0,7.3,Skimmers,0.93
INC1404,2024-02-09,Bay of Bengal,Mechanical Failure,113.0,Satellite,3.5,7.1,Bioremediation,0.46
INC1405,2024-02-10,South China Sea,Mechanical Failure,86.19,Crew,6.7,4.7,Dispersants,0.0
INC1406,2024-02-11,Gulf of Mexico,Mechanical Failure,74.2,Coast Guard,3.7,1.1,Dispersants,3.89
INC1407,2024-02-12,Bay of Bengal,Infrastructure,52.28,Satellite,4.7,6.2,Skimmers,1.51
INC1408,2024-02-13,South China Sea,Natural Event,22.5,Satellite,6.4,3.3,Skimmers,1.49
INC1409,2024-02-14,Bay of Bengal,Natural Event,41.48,Coast Guard,4.4,5.1,Vacuum Trucks,4.24
INC1410,2024-02-15,Arabian Sea,Natural Event,240.23,Coast Guard,6.3,9.6,Bioremediation,1.29
INC1411,2024-02-16,Arabian Sea,Mechanical Failure,125.72,Automated Sensor,1.9,4.6,Bioremediation,0.74
INC1412,2024-02-17,South China Sea,Natural Event,238.83,Coast Guard,4.7,8.6,Skimmers,1.66
INC1413,2024-02-18,Bay of Bengal,Natural Event,51.14,Crew,5.2,2.7,Vacuum Trucks,0.3
INC1414,2024-02-19,Gulf of Mexico,Mechanical Failure,33.49,Crew,5.0,7.1,Vacuum Trucks,2.52
INC1415,2024-02-20,South China Sea,Human Error,85.55,Automated Sensor,1.7,9.8,Dispersants,1.44
INC1416,2024-02-21,Arabian Sea,Mechanical Failure,42.86,Satellite,7.4,1.9,Dispersants,1.24
INC1417,2024-02-22,Arabian Sea,Natural Event,99.35,Satellite,3.3,1.1,Vacuum Trucks,1.11
INC1418,2024-02-23,South China Sea,Mechanical Failure,17.84,Coast Guard,5.7,4.9,Dispersants,1.84
INC1419,2024-02-24,Bay of Bengal,Human Error,9.52,Crew,5.0,1.8,Skimmers,2.13
INC1420,2024-02-25,Arabian Sea,Mechanical Failure,109.89,Satellite,7.0,7.7,Vacuum Trucks,1.22
INC1421,2024-02-26,Bay of Bengal,Natural Event,244.63,Automated Sensor,9.4,9.2,Dispersants,1.46
INC1422,2024-02-27,Arabian Sea,Human Error,113.41,Automated Sensor,2.4,4.9,Bioremediation,1.88
INC1423,2024-02-28,Arabian Sea,Infrastructure,124.82,Crew,3.7,3.3,Vacuum Trucks,1.73
INC1424,2024-02-29,North Sea,Natural Event,88.34,Automated Sensor,5.4,4.9,Vacuum Trucks,2.05
INC1425,2024-03-01,Arabian Sea,Human Error,94.75,Automated Sensor,2.8,7.5,Bioremediation,0.98
INC1426,2024-03-02,Gulf of Mexico,Human Error,21.34,Crew,6.6,1.1,Skimmers,3.51
INC1427,2024-03-03,South China Sea,Infrastructure,44.3,Coast Guard,6.7,6.3,Bioremediation,2.15
INC1428,2024-03-04,South China Sea,Mechanical Failure,191.3,Coast Guard,6.1,6.5,Vacuum Trucks,1.24
INC1429,2024-03-05,Bay of Bengal,Mechanical Failure,64.53,Automated Sensor,5.5,6.7,Skimmers,2.52
INC1430,2024-03-06,Arabian Sea,Natural Event,188.73,Coast Guard,7.7,3.2,Dispersants,1.89
INC1431,2024-03-07,Gulf of Mexico,Infrastructure,92.82,Coast Guard,2.7,7.4,Dispersants,0.0
INC1432,2024-03-08,Bay of Bengal,Mechanical Failure,96.35,Automated Sensor,5.1,1.8,Dispersants,2.51
INC1433,2024-03-09,North Sea,Infrastructure,64.93,Coast Guard,3.5,2.8,Vacuum Trucks,0.47
INC1434,2024-03-10,Bay of Bengal,Mechanical Failure,137.91,Automated Sensor,6.8,8.9,Bioremediation,3.4
INC1435,2024-03-11,Bay of Bengal,Human Error,161.6,Satellite,1.3,7.6,Skimmers,1.64
INC1436,2024-03-12,Arabian Sea,Mechanical Failure,42.2,Crew,4.9,1.1,Dispersants,3.17
INC1437,2024-03-13,North Sea,Infrastructure,23.55,Crew,5.7,3.2,Skimmers,1.05
INC1438,2024-03-14,Bay of Bengal,Human Error,12.12,Coast Guard,3.1,2.9,Vacuum Trucks,2.1
INC1439,2024-03-15,Gulf of Mexico,Human Error,120.61,Coast Guard,3.7,3.4,Dispersants,3.82
INC1440,2024-03-16,Gulf of Mexico,Human Error,111.02,Coast Guard,5.0,3.2,Vacuum Trucks,1.6
INC1441,2024-03-17,South China Sea,Infrastructure,370.07,Crew,6.9,1.6,Bioremediation,1.11
INC1442,2024-03-18,North Sea,Natural Event,88.73,Satellite,2.9,5.1,Vacuum Trucks,2.98
INC1443,2024-03-19,North Sea,Natural Event,77.11,Satellite,3.3,7.6,Vacuum Trucks,2.95
INC1444,2024-03-20,South China Sea,Natural Event,101.81,Crew,7.3,6.5,Bioremediation,1.18
INC1445,2024-03-21,Bay of Bengal,Infrastructure,105.87,Satellite,4.5,7.1,Skimmers,0.0
INC1446,2024-03-22,North Sea,Human Error,72.54,Crew,3.4,1.7,Bioremediation,1.08
INC1447,2024-03-23,Gulf of Mexico,Natural Event,43.45,Satellite,6.5,9.6,Bioremediation,3.02
INC1448,2024-03-24,Gulf of Mexico,Infrastructure,85.17,Automated Sensor,4.0,8.5,Vacuum Trucks,0.84
INC1449,2024-03-25,Arabian Sea,Natural Event,82.75,Automated Sensor,7.1,8.2,Skimmers,1.98
INC1450,2024-03-26,North Sea,Mechanical Failure,81.73,Crew,3.7,8.4,Dispersants,1.01
INC1451,2024-03-27,Bay of Bengal,Natural Event,148.05,Satellite,4.7,9.4,Bioremediation,0.0
INC1452,2024-03-28,South China Sea,Natural Event,84.0,Coast Guard,6.9,5.9,Skimmers,0.99
INC1453,2024-03-29,South China Sea,Human Error,24.1,Satellite,4.5,2.8,Bioremediation,3.01
INC1454,2024-03-30,Bay of Bengal,Infrastructure,49.86,Automated Sensor,6.5,6.6,Bioremediation,0.0
INC1455,2024-03-31,Arabian Sea,Human Error,71.84,Automated Sensor,4.9,7.7,Bioremediation,2.38
INC1456,2024-04-01,South China Sea,Human Error,87.04,Satellite,9.0,7.6,Bioremediation,0.22
INC1457,2024-04-02,North Sea,Human Error,122.41,Satellite,8.1,5.7,Vacuum Trucks,2.91
INC1458,2024-04-03,Arabian Sea,Human Error,87.56,Coast Guard,2.3,1.6,Skimmers,3.07
INC1459,2024-04-04,North Sea,Human Error,9.8,Coast Guard,6.0,4.3,Skimmers,1.74
INC1460,2024-04-05,Gulf of Mexico,Natural Event,27.1,Satellite,3.4,9.3,Skimmers,1.75
INC1461,2024-04-06,Arabian Sea,Human Error,128.37,Satellite,5.4,6.3,Bioremediation,0.79
INC1462,2024-04-07,South China Sea,Human Error,70.3,Satellite,5.1,5.8,Vacuum Trucks,0.0
INC1463,2024-04-08,Arabian Sea,Infrastructure,93.3,Satellite,2.9,3.4,Bioremediation,4.55
INC1464,2024-04-09,Arabian Sea,Mechanical Failure,63.41,Crew,7.1,4.3,Bioremediation,0.7
INC1465,2024-04-10,Arabian Sea,Natural Event,49.68,Satellite,5.4,9.1,Skimmers,4.35
INC1466,2024-04-11,Arabian Sea,Natural Event,65.29,Coast Guard,4.4,7.0,Bioremediation,0.71
INC1467,2024-04-12,North Sea,Natural Event,94.13,Automated Sensor,4.1,8.1,Dispersants,2.79
INC1468,2024-04-13,Gulf of Mexico,Human Error,83.53,Crew,5.3,5.1,Bioremediation,0.29
INC1469,2024-04-14,Bay of Bengal,Human Error,160.88,Satellite,5.8,6.7,Dispersants,2.79
INC1470,2024-04-15,Arabian Sea,Human Error,19.54,Automated Sensor,4.8,3.2,Bioremediation,1.51
INC1471,2024-04-16,South China Sea,Infrastructure,22.58,Crew,0.5,7.3,Vacuum Trucks,1.53
INC1472,2024-04-17,Arabian Sea,Mechanical Failure,69.65,Automated Sensor,5.0,4.8,Vacuum Trucks,2.92
INC1473,2024-04-18,South China Sea,Human Error,123.4,Satellite,2.1,5.0,Skimmers,1.3
INC1474,2024-04-19,North Sea,Mechanical Failure,142.57,Satellite,4.6,6.8,Bioremediation,0.0
INC1475,2024-04-20,South China Sea,Infrastructure,51.38,Coast Guard,2.2,9.4,Dispersants,3.14
INC1476,2024-04-21,Bay of Bengal,Natural Event,3.02,Satellite,2.2,1.6,Dispersants,0.28
INC1477,2024-04-22,Gulf of Mexico,Human Error,52.81,Satellite,7.5,8.4,Bioremediation,2.77
INC1478,2024-04-23,South China Sea,Mechanical Failure,111.27,Crew,4.4,3.6,Dispersants,3.46
INC1479,2024-04-24,South China Sea,Mechanical Failure,82.35,Coast Guard,4.2,5.0,Vacuum Trucks,1.44
INC1480,2024-04-25,Gulf of Mexico,Human Error,126.6,Crew,6.0,1.2,Dispersants,3.77
INC1481,2024-04-26,Bay of Bengal,Natural Event,186.89,Automated Sensor,4.3,3.7,Skimmers,2.72
INC1482,2024-04-27,Arabian Sea,Natural Event,73.51,Satellite,9.2,5.5,Vacuum Trucks,0.96
INC1483,2024-04-28,South China Sea,Natural Event,57.87,Automated Sensor,4.5,1.5,Vacuum Trucks,4.1
INC1484,2024-04-29,Gulf of Mexico,Infrastructure,38.27,Crew,5.7,5.4,Vacuum Trucks,0.29
INC1485,2024-04-30,North Sea,Mechanical Failure,22.44,Satellite,6.9,9.3,Bioremediation,1.43
INC1486,2024-05-01,Gulf of Mexico,Mechanical Failure,16.55,Satellite,8.2,1.9,Bioremediation,1.69
INC1487,2024-05-02,North Sea,Mechanical Failure,47.18,Crew,3.5,7.9,Vacuum Trucks,2.91
INC1488,2024-05-03,Bay of Bengal,Infrastructure,170.1,Crew,4.2,4.7,Bioremediation,3.67
INC1489,2024-05-04,Arabian Sea,Mechanical Failure,135.2,Crew,7.5,6.9,Dispersants,3.58
INC1490,2024-05-05,Gulf of Mexico,Infrastructure,55.64,Crew,6.6,3.3,Bioremediation,2.34
INC1491,2024-05-06,South China Sea,Natural Event,314.56,Crew,7.2,2.4,Bioremediation,1.58
INC1492,2024-05-07,Bay of Bengal,Human Error,50.03,Satellite,2.3,2.4,Vacuum Trucks,0.0
INC1493,2024-05-08,Gulf of Mexico,Mechanical Failure,198.77,Crew,8.1,1.6,Skimmers,0.03
INC1494,2024-05-09,South China Sea,Mechanical Failure,230.23,Satellite,3.5,2.7,Skimmers,4.65
INC1495,2024-05-10,Gulf of Mexico,Natural Event,116.69,Satellite,5.4,7.0,Skimmers,0.0
INC1496,2024-05-11,North Sea,Human Error,46.8,Crew,4.7,8.9,Dispersants,0.82
INC1497,2024-05-12,Gulf of Mexico,Infrastructure,61.91,Crew,3.2,8.3,Bioremediation,3.72
